ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE_YEARS,IS_PENSIONER,EMPLOYMENT_YEARS,INCOME_PER_FAMILY_MEMBER,INCOME_BAND,TARGET
5008023,M,N,Y,2,45365.4,Working,Secondary / secondary special,Married,House / apartment,0,0,0,High skill tech staff,4,27.2,0,8.0,11341.35,Low,0
5008024,M,N,N,0,67072.23,Working,Secondary / secondary special,Single / not married,House / apartment,0,1,0,Drivers,1,60.2,0,0.7,67072.23,Low,1
5008025,M,N,Y,1,67022.93,Pensioner,Lower secondary,Married,With parents,0,0,0,High skill tech staff,3,37.7,1,0.0,22340.98,Low,0
5008026,F,Y,N,2,54577.88,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,0,1,1,Laborers,3,24.0,1,0.0,18192.63,Low,1
5008027,M,Y,N,0,37109.78,Working,Secondary / secondary special,Married,House / apartment,0,1,0,High skill tech staff,2,40.2,0,2.3,18554.89,Low,1
5008028,F,Y,N,1,53737.64,Working,Higher education,Married,House / apartment,1,1,0,Core staff,3,46.3,0,1.6,17912.55,Low,1
5008029,F,N,Y,0,137746.48,Working,Higher education,Single / not married,With parents,1,1,0,Cooking staff,1,48.9,0,5.4,137746.48,Medium,0
5008030,M,N,Y,1,52864.75,Pensioner,Secondary / secondary special,Separated,House / apartment,0,1,1,Sales staff,3,47.9,1,0.0,17621.58,Low,0
5008031,F,N,Y,0,114633.18,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2,41.5,0,0.9,57316.59,Medium,0
5008032,M,N,Y,0,71850.84,Working,Secondary / secondary special,Married,Municipal apartment,0,1,0,Cooking staff,2,26.9,0,9.2,35925.42,Low,0
5008033,M,Y,N,2,79525.68,State servant,Secondary / secondary special,Single / not married,House / apartment,0,1,0,Cleaning staff,3,41.9,0,4.1,26508.56,Low,0
5008034,F,N,N,0,39652.32,Commercial associate,Secondary / secondary special,Separated,House / apartment,0,1,0,Drivers,2,49.1,0,11.5,19826.16,Low,0
5008035,M,Y,N,1,130871.87,Pensioner,Secondary / secondary special,Married,Rented apartment,1,1,0,Medicine staff,3,54.3,1,0.0,43623.96,Medium,1
5008036,M,N,Y,0,204859.52,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2,46.2,0,4.0,102429.76,High,1
5008037,F,N,N,1,51580.84,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,3,56.2,0,6.2,17193.61,Low,0
5008038,M,N,Y,3,140330.92,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Medicine staff,4,30.2,0,9.1,35082.73,Medium,0
5008039,F,N,N,0,38769.08,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,0,0,0,High skill tech staff,2,42.7,0,2.1,19384.54,Low,0
5008040,F,Y,Y,0,71189.19,Working,Higher education,Married,Office apartment,0,0,1,Sales staff,2,39.1,0,1.4,35594.6,Low,1
5008041,M,N,Y,2,40694.39,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,4,62.3,0,15.0,10173.6,Low,1
5008042,M,N,N,0,88318.07,State servant,Secondary / secondary special,Married,House / apartment,1,1,1,Drivers,2,51.7,0,1.0,44159.04,Low,1
5008043,F,N,N,0,66036.03,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2,70.0,0,13.2,33018.02,Low,1
5008044,F,N,N,0,71295.24,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Managers,1,45.0,0,6.3,71295.24,Low,1
5008045,M,Y,Y,0,140923.42,Commercial associate,Secondary / secondary special,Married,Office apartment,0,0,0,Sales staff,2,50.9,0,3.4,70461.71,Medium,0
5008046,F,Y,N,1,136184.08,Working,Secondary / secondary special,Single / not married,Co-op apartment,0,0,0,Laborers,2,45.4,0,2.5,68092.04,Medium,1
5008047,M,Y,N,2,67097.36,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Cleaning staff,4,29.4,0,6.4,16774.34,Low,1
5008048,F,Y,N,1,127216.75,Working,Higher education,Married,House / apartment,0,0,0,Managers,3,38.7,0,5.0,42405.58,Medium,0
5008049,M,N,Y,2,129985.68,Working,Higher education,Married,House / apartment,0,0,0,Cooking staff,4,43.5,0,3.2,32496.42,Medium,1
5008050,M,Y,N,1,127354.49,Working,Secondary / secondary special,Single / not married,Rented apartment,0,1,0,High skill tech staff,2,27.7,0,2.2,63677.24,Medium,0
5008051,M,N,Y,2,78737.28,Pensioner,Secondary / secondary special,Single / not married,With parents,1,0,0,Laborers,3,41.9,1,0.0,26245.76,Low,0
5008052,F,Y,Y,4,86275.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,1,Private service staff,6,27.7,0,20.8,14379.17,Low,1
5008053,F,N,Y,0,63460.68,Working,Secondary / secondary special,Married,House / apartment,0,0,0,High skill tech staff,2,70.0,0,15.7,31730.34,Low,1
5008054,F,N,N,0,234922.11,Pensioner,Higher education,Married,House / apartment,0,0,0,Managers,2,54.8,1,0.0,117461.06,High,1
5008055,M,Y,Y,0,89277.27,State servant,Higher education,Married,Municipal apartment,1,0,1,Core staff,2,47.9,0,1.3,44638.64,Low,1
5008056,M,N,Y,0,70187.56,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,2,52.5,0,1.7,35093.78,Low,0
5008057,M,N,N,0,94049.65,Working,Secondary / secondary special,Married,With parents,1,0,0,Security staff,2,57.6,0,1.9,47024.82,Low,0
5008058,F,Y,Y,1,83768.53,Working,Higher education,Married,House / apartment,0,1,0,Drivers,3,58.1,0,2.3,27922.84,Low,0
5008059,F,N,Y,0,205092.78,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2,45.0,0,11.6,102546.39,High,1
5008060,F,Y,N,0,72333.41,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,2,40.2,0,1.0,36166.7,Low,0
5008061,M,Y,Y,0,107241.56,Commercial associate,Secondary / secondary special,Single / not married,With parents,0,0,0,High skill tech staff,1,46.3,0,4.0,107241.56,Medium,0
5008062,F,N,Y,0,68889.49,Commercial associate,Secondary / secondary special,Married,With parents,1,1,0,Laborers,2,43.3,0,1.4,34444.75,Low,0
5008063,M,Y,Y,0,31453.06,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,2,27.9,0,1.6,15726.53,Low,0
5008064,F,N,Y,0,73183.97,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Security staff,2,22.0,0,6.0,36591.98,Low,0
5008065,M,Y,Y,0,112053.72,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Core staff,2,53.1,0,9.0,56026.86,Medium,0
5008066,F,Y,N,0,78274.47,Working,Higher education,Civil marriage,House / apartment,0,1,0,Sales staff,2,52.5,0,7.4,39137.24,Low,1
5008067,M,N,N,2,41022.63,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Managers,4,41.2,0,8.2,10255.66,Low,1
5008068,M,N,Y,1,161560.36,Working,Lower secondary,Widow,House / apartment,0,0,0,High skill tech staff,3,30.9,0,2.5,53853.45,Medium,1
5008069,F,N,Y,0,40342.18,Working,Secondary / secondary special,Separated,Rented apartment,1,1,0,Drivers,2,35.7,0,6.0,20171.09,Low,0
5008070,M,Y,Y,2,49687.56,Working,Higher education,Married,House / apartment,0,1,0,High skill tech staff,4,48.8,0,1.8,12421.89,Low,0
5008071,M,N,Y,4,41667.34,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,Security staff,6,38.8,0,15.1,6944.56,Low,0
5008072,F,N,N,0,43558.19,Pensioner,Secondary / secondary special,Separated,House / apartment,0,0,0,Cleaning staff,2,28.7,1,0.0,21779.1,Low,1
5008073,F,N,Y,0,74794.47,Pensioner,Incomplete higher,Single / not married,Municipal apartment,0,1,1,Cooking staff,1,45.4,1,0.0,74794.47,Low,0
5008074,F,N,N,4,99258.18,Pensioner,Secondary / secondary special,Separated,House / apartment,0,1,0,Cooking staff,6,35.2,1,0.0,16543.03,Low,1
5008075,M,N,N,0,54531.29,Pensioner,Secondary / secondary special,Civil marriage,Rented apartment,1,0,0,Accountants,2,51.1,1,0.0,27265.64,Low,0
5008076,F,Y,N,0,96971.44,Working,Higher education,Single / not married,House / apartment,0,1,0,High skill tech staff,1,45.3,0,6.2,96971.44,Low,0
5008077,F,Y,Y,0,107424.11,Pensioner,Higher education,Single / not married,House / apartment,1,0,0,Medicine staff,1,53.5,1,0.0,107424.11,Medium,1
5008078,M,Y,Y,0,62039.7,Working,Incomplete higher,Married,House / apartment,0,0,0,Cooking staff,2,35.5,0,0.4,31019.85,Low,1
5008079,F,N,Y,0,34306.76,Commercial associate,Incomplete higher,Married,With parents,0,0,0,High skill tech staff,2,56.8,0,0.2,17153.38,Low,0
5008080,M,Y,N,0,155901.37,Working,Higher education,Married,House / apartment,1,1,0,Laborers,2,29.7,0,0.1,77950.68,Medium,0
5008081,M,N,Y,0,52296.47,Commercial associate,Secondary / secondary special,Married,With parents,0,1,0,Managers,2,39.0,0,11.6,26148.24,Low,0
5008082,M,Y,Y,2,27000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,4,30.8,0,7.1,6750.0,Low,0
5008083,M,N,N,1,60203.15,Commercial associate,Secondary / secondary special,Single / not married,With parents,0,0,0,High skill tech staff,2,27.8,0,6.8,30101.58,Low,1
5008084,F,Y,Y,3,97915.75,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Security staff,5,32.1,0,8.6,19583.15,Low,1
5008085,F,N,Y,0,105535.69,Working,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,Laborers,1,31.0,0,21.7,105535.69,Medium,0
5008086,F,Y,Y,0,41419.59,Pensioner,Secondary / secondary special,Married,With parents,1,0,0,Core staff,2,65.4,1,0.0,20709.79,Low,0
5008087,F,N,Y,0,29017.26,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Drivers,2,38.6,0,2.7,14508.63,Low,1
5008088,M,N,N,0,85216.42,Pensioner,Secondary / secondary special,Married,Office apartment,1,0,0,High skill tech staff,2,44.8,1,0.0,42608.21,Low,1
5008089,F,N,Y,0,94699.05,Working,Secondary / secondary special,Single / not married,Office apartment,0,1,1,Laborers,1,37.5,0,0.4,94699.05,Low,0
5008090,F,Y,Y,0,127894.48,Commercial associate,Higher education,Married,Co-op apartment,0,1,0,Medicine staff,2,43.8,0,3.1,63947.24,Medium,0
5008091,M,Y,N,0,120766.08,State servant,Incomplete higher,Separated,House / apartment,0,0,1,Medicine staff,2,44.4,0,4.8,60383.04,Medium,1
5008092,F,N,Y,0,78695.15,Working,Secondary / secondary special,Separated,With parents,0,0,0,Private service staff,2,31.3,0,7.9,39347.57,Low,0
5008093,F,Y,Y,3,46198.66,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Accountants,5,42.2,0,22.6,9239.73,Low,1
5008094,F,Y,Y,0,57451.0,State servant,Lower secondary,Married,Office apartment,1,1,0,Core staff,2,25.4,0,7.0,28725.5,Low,0
5008095,F,N,N,1,64765.04,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,3,37.0,0,2.5,21588.35,Low,0
5008096,M,Y,N,2,46273.36,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Managers,4,45.9,0,0.0,11568.34,Low,0
5008097,M,Y,Y,0,125553.59,State servant,Secondary / secondary special,Married,House / apartment,0,1,0,Security staff,2,52.1,0,29.9,62776.8,Medium,1
5008098,M,N,Y,3,122262.98,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Laborers,4,33.5,0,10.9,30565.74,Medium,0
5008099,F,Y,N,2,36388.85,Commercial associate,Higher education,Separated,House / apartment,1,1,0,High skill tech staff,4,56.7,0,1.7,9097.21,Low,0
5008100,F,Y,Y,0,62265.37,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Private service staff,2,54.2,0,11.0,31132.68,Low,0
5008101,F,N,Y,3,205066.54,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,5,34.9,0,4.6,41013.31,High,0
5008102,M,Y,N,2,130802.17,Commercial associate,Secondary / secondary special,Widow,Municipal apartment,1,0,0,Security staff,4,31.1,0,18.8,32700.54,Medium,0
5008103,M,N,N,0,80346.72,Pensioner,Secondary / secondary special,Married,Office apartment,1,1,0,Security staff,2,35.2,1,0.0,40173.36,Low,1
5008104,F,Y,N,2,126492.47,Working,Incomplete higher,Married,Co-op apartment,0,0,0,High skill tech staff,4,24.0,0,2.9,31623.12,Medium,0
5008105,F,N,N,0,166824.43,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,28.6,0,1.4,83412.22,Medium,0
5008106,M,N,N,2,76673.03,Working,Incomplete higher,Married,House / apartment,1,0,0,Sales staff,4,28.1,0,8.3,19168.26,Low,0
5008107,F,N,N,1,37106.21,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,Core staff,3,45.5,0,1.6,12368.74,Low,1
5008108,F,Y,Y,0,112401.85,Working,Lower secondary,Married,House / apartment,0,0,0,Accountants,2,48.5,0,0.8,56200.92,Medium,1
5008109,F,Y,Y,1,115351.18,Working,Incomplete higher,Separated,House / apartment,0,1,0,Laborers,3,64.9,0,2.2,38450.39,Medium,0
5008110,F,N,N,1,44228.7,Commercial associate,Higher education,Single / not married,House / apartment,0,0,1,Core staff,2,52.5,0,5.2,22114.35,Low,0
5008111,M,Y,Y,2,83304.32,Working,Higher education,Married,Rented apartment,1,0,0,Security staff,4,41.9,0,6.0,20826.08,Low,0
5008112,F,N,N,2,49250.25,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Private service staff,4,37.4,0,2.5,12312.56,Low,0
5008113,F,N,N,1,32132.71,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Drivers,2,56.7,0,8.4,16066.36,Low,0
5008114,M,N,Y,4,81662.46,Pensioner,Secondary / secondary special,Married,Rented apartment,0,0,0,Laborers,6,28.6,1,0.0,13610.41,Low,0
5008115,M,Y,Y,2,151156.05,Pensioner,Incomplete higher,Married,House / apartment,0,0,0,Drivers,4,42.4,1,0.0,37789.01,Medium,0
5008116,F,Y,Y,3,85872.45,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,Cleaning staff,5,28.5,0,14.0,17174.49,Low,0
5008117,M,N,Y,0,79892.91,Working,Secondary / secondary special,Married,House / apartment,0,1,1,Core staff,2,48.3,0,4.9,39946.46,Low,1
5008118,M,N,N,0,37559.6,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Sales staff,2,56.7,0,8.5,18779.8,Low,1
5008119,F,N,Y,0,100121.27,Working,Secondary / secondary special,Married,With parents,0,1,0,High skill tech staff,2,24.9,0,20.5,50060.64,Medium,1
5008120,M,N,N,0,55449.82,Working,Secondary / secondary special,Single / not married,House / apartment,0,1,0,Drivers,1,62.9,0,1.1,55449.82,Low,0
5008121,F,N,Y,3,49563.35,Working,Secondary / secondary special,Married,Rented apartment,1,1,0,Sales staff,5,31.4,0,7.2,9912.67,Low,1
5008122,M,N,N,0,113676.84,Working,Higher education,Married,House / apartment,0,0,0,Accountants,2,34.0,0,11.3,56838.42,Medium,1
5008123,F,Y,Y,0,39822.68,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Core staff,2,43.8,0,0.2,19911.34,Low,0
5008124,M,N,Y,0,65781.2,Working,Higher education,Married,House / apartment,0,0,1,Core staff,2,29.8,0,0.9,32890.6,Low,1
5008125,M,N,Y,2,41194.8,Working,Secondary / secondary special,Married,With parents,0,0,0,Drivers,4,64.5,0,11.0,10298.7,Low,0
5008126,M,Y,Y,0,62960.25,Working,Incomplete higher,Single / not married,House / apartment,0,1,0,Drivers,1,24.5,0,11.2,62960.25,Low,1
5008127,F,N,N,0,27000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Accountants,1,33.3,0,8.9,27000.0,Low,1
5008128,F,Y,N,0,95875.31,Commercial associate,Higher education,Single / not married,House / apartment,1,0,0,Sales staff,1,32.7,0,0.8,95875.31,Low,1
5008129,M,N,Y,0,88884.19,Working,Secondary / secondary special,Married,House / apartment,1,1,1,Cleaning staff,2,52.2,0,0.9,44442.1,Low,0
5008130,F,Y,Y,0,217166.37,Working,Secondary / secondary special,Married,Rented apartment,0,1,0,Laborers,2,33.8,0,3.7,108583.18,High,0
5008131,F,Y,N,2,82550.83,Commercial associate,Incomplete higher,Married,House / apartment,0,1,0,Medicine staff,4,51.1,0,3.9,20637.71,Low,0
5008132,F,N,N,0,46579.31,Working,Secondary / secondary special,Married,Municipal apartment,0,1,0,Private service staff,2,43.8,0,0.7,23289.66,Low,0
5008133,M,N,Y,4,120070.66,Working,Lower secondary,Married,House / apartment,1,0,0,Managers,6,41.3,0,16.9,20011.78,Medium,1
5008134,F,N,Y,0,118711.37,Working,Secondary / secondary special,Married,House / apartment,1,1,1,Medicine staff,2,26.5,0,5.7,59355.68,Medium,0
5008135,M,Y,Y,0,140555.6,State servant,Incomplete higher,Married,House / apartment,1,0,0,Managers,2,35.2,0,2.1,70277.8,Medium,0
5008136,M,N,Y,2,27435.94,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Managers,4,34.2,0,15.7,6858.98,Low,1
5008137,F,Y,Y,0,51506.68,Pensioner,Secondary / secondary special,Married,Office apartment,0,0,0,Medicine staff,2,28.0,1,0.0,25753.34,Low,0
5008138,F,Y,Y,0,46453.93,Pensioner,Higher education,Civil marriage,House / apartment,0,0,0,Medicine staff,2,35.4,1,0.0,23226.96,Low,0
5008139,M,Y,Y,0,157048.06,Pensioner,Higher education,Married,House / apartment,0,0,0,Managers,2,51.7,1,0.0,78524.03,Medium,0
5008140,M,Y,Y,1,109400.5,Commercial associate,Secondary / secondary special,Widow,House / apartment,0,1,0,Drivers,3,40.6,0,7.1,36466.83,Medium,0
5008141,F,N,Y,0,128698.57,Working,Incomplete higher,Married,Municipal apartment,1,0,0,Cooking staff,2,48.6,0,14.6,64349.28,Medium,0
5008142,F,N,Y,2,42511.32,Pensioner,Secondary / secondary special,Separated,House / apartment,0,1,0,Managers,4,37.1,1,0.0,10627.83,Low,1
5008143,M,Y,Y,0,78142.13,Commercial associate,Higher education,Married,House / apartment,0,1,0,Accountants,2,37.5,0,8.7,39071.06,Low,0
5008144,F,N,Y,0,32413.32,Commercial associate,Higher education,Separated,Rented apartment,0,0,0,Accountants,2,51.7,0,2.8,16206.66,Low,0
5008145,M,Y,Y,3,42143.92,Commercial associate,Higher education,Single / not married,House / apartment,0,0,0,Core staff,4,41.1,0,0.9,10535.98,Low,1
5008146,M,N,Y,2,77789.7,Working,Incomplete higher,Married,House / apartment,0,0,0,Cleaning staff,4,23.4,0,19.5,19447.42,Low,1
5008147,F,N,N,1,81703.63,Working,Secondary / secondary special,Widow,Co-op apartment,0,0,1,Laborers,3,40.8,0,3.1,27234.54,Low,0
5008148,M,Y,Y,2,89025.5,Student,Incomplete higher,Married,House / apartment,0,1,0,Private service staff,4,36.1,0,0.5,22256.38,Low,0
5008149,M,N,N,0,52831.24,Pensioner,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,2,43.7,1,0.0,26415.62,Low,0
5008150,F,Y,Y,1,90462.1,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,Security staff,2,53.9,0,3.1,45231.05,Low,1
5008151,F,N,Y,0,73299.23,Student,Secondary / secondary special,Married,House / apartment,1,0,0,Managers,2,49.7,0,8.4,36649.62,Low,1
5008152,M,Y,N,0,160334.28,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2,34.0,0,2.6,80167.14,Medium,0
5008153,F,N,Y,0,59082.55,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cleaning staff,2,34.4,0,6.4,29541.28,Low,1
5008154,F,N,Y,2,29223.47,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,Medicine staff,4,40.9,0,0.5,7305.87,Low,0
5008155,M,Y,Y,1,99547.18,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Private service staff,2,52.0,0,0.5,49773.59,Low,0
5008156,F,Y,Y,0,86502.14,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,High skill tech staff,2,22.8,1,0.0,43251.07,Low,1
5008157,M,N,Y,0,46867.32,Pensioner,Higher education,Widow,House / apartment,0,0,0,Drivers,2,37.9,1,0.0,23433.66,Low,1
5008158,M,Y,N,0,62115.42,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Security staff,1,43.0,0,15.5,62115.42,Low,0
5008159,F,Y,Y,0,80576.61,State servant,Secondary / secondary special,Single / not married,Municipal apartment,0,1,1,High skill tech staff,1,55.0,0,0.6,80576.61,Low,0
5008160,F,N,N,1,60494.06,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Cooking staff,3,51.3,0,0.3,20164.69,Low,0
5008161,M,N,Y,0,41972.74,Working,Secondary / secondary special,Married,House / apartment,1,1,1,Security staff,2,51.8,0,0.9,20986.37,Low,1
5008162,M,Y,Y,1,66180.8,Commercial associate,Secondary / secondary special,Married,Office apartment,0,0,1,Laborers,3,20.0,0,4.1,22060.27,Low,1
5008163,F,Y,N,2,113796.46,Pensioner,Higher education,Widow,House / apartment,0,0,0,Private service staff,4,55.1,1,0.0,28449.12,Medium,1
5008164,M,N,Y,0,61034.27,State servant,Higher education,Married,House / apartment,1,0,1,Cleaning staff,2,50.6,0,23.3,30517.14,Low,0
5008165,M,Y,N,2,81298.28,Working,Higher education,Married,House / apartment,1,1,0,Cleaning staff,4,49.0,0,2.1,20324.57,Low,0
5008166,M,N,Y,0,66787.16,Working,Higher education,Single / not married,House / apartment,0,1,0,Security staff,1,46.2,0,5.2,66787.16,Low,0
5008167,F,N,Y,0,39437.27,Working,Incomplete higher,Married,House / apartment,0,0,0,Core staff,2,46.7,0,6.3,19718.63,Low,1
5008168,M,N,Y,0,69342.87,State servant,Higher education,Married,House / apartment,0,1,1,Medicine staff,2,46.3,0,14.3,34671.44,Low,0
5008169,M,Y,Y,0,58534.69,State servant,Higher education,Married,House / apartment,0,0,0,Laborers,2,46.3,0,7.8,29267.34,Low,0
5008170,F,Y,Y,4,106858.56,Working,Secondary / secondary special,Married,With parents,0,1,0,Managers,6,38.8,0,0.9,17809.76,Medium,0
5008171,F,Y,Y,0,135627.41,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,1,0,Cooking staff,1,53.6,0,6.2,135627.41,Medium,0
5008172,F,N,Y,1,113646.44,Working,Higher education,Married,House / apartment,0,0,0,Security staff,3,42.6,0,5.6,37882.15,Medium,1
5008173,M,N,Y,1,50635.88,Commercial associate,Secondary / secondary special,Married,With parents,0,0,0,Core staff,3,36.7,0,2.8,16878.63,Low,0
5008174,F,Y,Y,0,40888.28,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,1,High skill tech staff,1,42.9,0,2.6,40888.28,Low,1
5008175,M,N,N,0,34308.6,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2,36.5,0,13.5,17154.3,Low,1
5008176,M,N,Y,0,79593.05,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2,45.6,0,0.7,39796.52,Low,0
5008177,F,Y,N,0,51298.51,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,Security staff,2,46.8,1,0.0,25649.26,Low,0
5008178,M,Y,Y,3,41920.7,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Cleaning staff,5,34.1,0,8.7,8384.14,Low,0
5008179,M,Y,Y,1,195037.13,Pensioner,Higher education,Married,Co-op apartment,1,0,0,Accountants,3,47.7,1,0.0,65012.38,Medium,1
5008180,M,N,Y,3,93256.37,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Cooking staff,5,20.0,0,1.2,18651.27,Low,1
5008181,M,N,N,1,86516.32,Working,Higher education,Married,House / apartment,0,1,0,Managers,3,51.6,0,4.0,28838.77,Low,0
5008182,M,N,N,0,84384.39,Working,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Sales staff,1,48.4,0,12.5,84384.39,Low,1
5008183,F,Y,Y,0,164289.85,Pensioner,Secondary / secondary special,Separated,House / apartment,0,1,0,Managers,2,37.8,1,0.0,82144.92,Medium,1
5008184,M,Y,Y,2,67270.78,Working,Secondary / secondary special,Single / not married,Rented apartment,0,0,1,Sales staff,3,30.2,0,0.3,22423.59,Low,0
5008185,M,N,Y,0,99599.33,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Cooking staff,1,40.0,1,0.0,99599.33,Low,1
5008186,M,N,N,0,114886.07,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,Accountants,2,35.8,0,1.5,57443.04,Medium,0
5008187,F,N,Y,0,185140.67,Working,Higher education,Married,House / apartment,0,1,0,High skill tech staff,2,47.0,0,13.2,92570.34,Medium,1
5008188,F,N,N,0,73076.71,Pensioner,Secondary / secondary special,Separated,House / apartment,0,0,1,Sales staff,2,65.8,1,0.0,36538.36,Low,0
5008189,M,N,N,1,135577.81,Commercial associate,Secondary / secondary special,Married,Co-op apartment,0,0,0,Laborers,3,46.9,0,2.9,45192.6,Medium,1
5008190,F,Y,N,2,29313.2,State servant,Secondary / secondary special,Married,With parents,0,0,0,Security staff,4,42.7,0,2.0,7328.3,Low,0
5008191,M,N,Y,0,210806.71,Working,Secondary / secondary special,Married,With parents,0,0,0,Private service staff,2,54.2,0,1.0,105403.36,High,0
5008192,M,N,N,1,90337.13,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,Accountants,3,43.4,1,0.0,30112.38,Low,1
5008193,M,Y,Y,1,106684.61,Pensioner,Incomplete higher,Married,House / apartment,0,0,0,Drivers,3,38.2,1,0.0,35561.54,Medium,0
5008194,M,N,Y,0,38486.29,Commercial associate,Higher education,Widow,House / apartment,0,0,0,Laborers,2,28.8,0,8.1,19243.14,Low,0
5008195,M,Y,Y,0,37261.27,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,1,0,Sales staff,2,29.3,0,13.6,18630.63,Low,0
5008196,F,N,N,2,52940.04,Commercial associate,Secondary / secondary special,Married,Office apartment,0,0,0,Managers,4,38.7,0,2.0,13235.01,Low,0
5008197,M,N,Y,0,73858.19,Pensioner,Secondary / secondary special,Widow,Municipal apartment,1,0,0,Laborers,2,29.7,1,0.0,36929.1,Low,1
5008198,F,N,N,0,64392.12,Student,Higher education,Married,Municipal apartment,0,1,0,Sales staff,2,48.7,0,1.3,32196.06,Low,0
5008199,M,N,N,0,59576.06,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Cooking staff,2,42.9,0,0.7,29788.03,Low,1
5008200,M,Y,N,0,66273.33,Commercial associate,Higher education,Married,With parents,0,0,0,Security staff,2,34.6,0,5.7,33136.66,Low,0
5008201,M,N,Y,0,27000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Private service staff,2,56.1,0,9.1,13500.0,Low,1
5008202,F,Y,N,0,90513.7,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Security staff,2,45.9,0,5.7,45256.85,Low,0
5008203,M,N,Y,0,67176.73,Working,Higher education,Single / not married,House / apartment,0,1,0,Cooking staff,1,50.0,0,2.1,67176.73,Low,1
5008204,F,Y,N,0,117659.93,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Security staff,1,47.9,0,7.0,117659.93,Medium,0
